Date,沪深300,中证500,创业板指,上证指数,上证50,中证1000,中证2000,万得微盘股指数,黄金ETF,中债总财富,企业债,十年国债ETF,政金债ETF,30年国债ETF,黄金,原油,铜,螺纹钢,铁矿,纯碱,焦煤,白银,欧线,碳酸锂,棉花,生猪,标普500ETF,纳指ETF,恒生指数,恒生科技,日经225,欧元区STOXX50,越南V30,韩国综合,标普500(现货),纳斯达克(现货),中证REITs指数,2Y美债,10Y美债,30Y美债,1Y中国国债,2Y中国国债,10Y中国国债,30Y中国国债
2023-08-18,-0.012293333550503327,-0.016438162660384004,-0.013104749878578237,-0.010047066773169355,-0.011397368118002071,-0.020887008935317586,-0.017449333897753272,-0.0008097052314146591,-0.00180627681192147,0.0003638877289753317,0.0001961776929695347,0.0006074596039362667,0.0006563643208077341,0.0019581233036061185,-0.0037469913490415507,0.00024164969963380578,-7.303372353772986e-05,-0.007161220535630175,0.004730850575366707,0.02071210359675657,0.00675690746102009,-0.004925394036048414,0.18111012820512817,0.008989225916933519,0.0184930531006966,-0.0035234861414439322,-0.01188118811881178,-0.019021739130434923,-0.020504588132133517,-0.036286637744451955,-0.005541010560930926,-0.0035195360267560316,-0.04625667163533209,-0.006091632438438799,-0.00014872916647590273,-0.0019636657998501894,0.0009979370272117372,-0.004048582995951455,-0.009302325581395321,-0.006802721088435382,-0.0027548209366390353,-0.004801920768307433,-0.0021459227467811592,-0.002909962341663741
2023-08-21,-0.014389203308939669,-0.01159938600821786,-0.01602473330220111,-0.012444407690664572,-0.01295675615188796,-0.009798193178690906,-0.004603342831030144,0.001749115346496577,0.0038452838724269967,0.0011185367445698535,0.0004654718439764949,0.0022583778533267207,0.0022764760921780702,0.008146127203420894,0.004161806760773157,0.017281549801248186,0.007948469969167204,-0.009261894351579092,0.005982368593828724,0.08341299952267844,0.016666891728607913,0.004094004643014459,0.01023233357492126,0.028908815785491537,-0.0003391464443847081,0.01586626866838481,0.00400801603206391,0.0027700831024932704,-0.01824760387391111,-0.02101866801084995,0.0036526939253613833,0.002829371343120668,0.00018485841525928137,0.001716909562787139,0.006879175048229769,0.015560411051872114,-0.0058206171049096644,0.010162601626016121,0.018779342723004744,0.01598173515981749,0.016574585635359185,-0.0004825090470446103,-0.007624633431085104,-0.009957081545064361
2023-08-22,0.007687807258506707,0.005302657257768129,0.0009455295097149374,0.008844583651540727,0.0075448174666155055,0.006937892522363764,0.007344443275919987,-0.006160708350356425,-0.001577287066245936,0.0001340041449020557,0.00016114185982574192,-0.00116298790977154,-0.0007410615466050263,-0.0011995700740854431,-0.0011409888774358556,-0.018091615422006435,0.002619895275490114,0.01286444085284666,0.03533816478831886,0.023636227514818975,0.031189980853366883,0.011682571755851079,0.009929486921890218,-0.013010999957731029,-0.0004415045352975655,-0.004258406764014455,0.003992015968063978,0.016574585635359185,0.009516951715598854,0.01982075673691619,0.009221102439234574,0.008402625406225495,0.0026799516096511766,0.0027662627551019447,-0.0027774179104816943,0.00061344284424103,-0.002832163653522013,0.010060362173038184,0.0,-0.006741573033707926,0.016304347826086918,0.005310161718561579,0.005713159968479209,0.0005202011444422894
2023-08-23,-0.016388897839622385,-0.01943207148867232,-0.022983451326623716,-0.013438209719742189,-0.013063225955882607,-0.020580372346854836,-0.01670132223095544,-0.007810177452403422,0.004739336492890933,0.0001260788084804787,0.00010470142881580102,-9.702850212245373e-05,-0.0004911969796201898,0.0003747153604474196,0.003097192474268873,-0.008148688298646456,0.006933159299961966,0.002474965201676671,0.00947785580030125,-0.0016423678475188108,0.01950779621529186,0.016079497709460044,0.021080205746382807,0.008105567065925134,0.007291038018030438,0.01501656058162748,0.0006626905235256331,0.0,0.0030863902611486527,0.001984543554982343,0.00482002064871101,0.0014787448038551254,-0.008831094837914999,-0.00407037293201995,0.011044888377340412,0.015930850807833963,-0.0016537743214514178,-0.013944223107569598,-0.034562211981566726,-0.03393665158371051,0.0053475935828875,0.0024009603841537164,-0.0029382957884428462,-0.0034662045060658286
2023-08-24,0.007248594457784918,0.004116351436474819,0.012554245376943385,0.0012479851153948118,0.007949253108418652,0.0023930343269149557,0.0002634469995910216,-0.00876460356517672,0.0026954177897575704,0.00013001610706298017,7.983245700882158e-05,-0.0002183353145241984,-1.927209304564137e-05,0.0012581878253519196,0.0045129410696624905,-0.017136359005390234,-0.0013321141260607128,-0.008631535197965778,-0.010987798400325821,0.03948411209041769,-0.013157789971908085,0.011260487785019757,-0.05204564657031285,-0.0035906191090101514,0.009746015925683027,-0.0010624499843380208,0.014569536423841178,0.02717391304347805,0.020522898231080333,0.037207585198784754,0.008651913480240525,-0.008074212442021445,0.01598518981884589,0.012843743763719662,-0.013458039995401183,-0.01873474513210749,0.0038909561773559087,0.0060606060606061,0.009546539379474916,0.007025761124121788,-0.010638297872340274,-0.004071856287425013,0.003732809430255335,0.0005217391304348507
2023-08-25,-0.0038345296364294956,-0.012642037008722018,-0.011709247053168559,-0.0058947963203040965,0.0018472222815679729,-0.018193071661074756,-0.023166532459937272,-0.017935840187365604,-0.0035842293906810374,-0.00018357995851436826,7.170007571510872e-05,-0.00046103076773762464,-0.0007323536497230165,-0.0018801139579276427,-0.0029809888905424353,0.011310622241402557,0.0006697846031809007,0.008678312911087227,0.016386668397361692,0.03136444685008466,0.006097297914358757,-0.003241563808488168,-0.01617536303694922,-0.02391898626266986,0.01067760606296786,0.0073952209806011915,-0.020234986945169786,-0.0379188712522045,-0.014045003972618209,-0.02382624422200963,-0.02053227888070852,0.0009522189300177342,-0.006614637068592555,-0.007305885690867209,0.006717988442317857,0.009408814784940933,0.003191486315369918,0.010040160642570184,0.004728132387706863,0.0,0.010752688172043001,0.012506012506012354,0.0050890585241729624,0.002085868242655886
2023-08-28,0.011719040771505762,0.011275132446152192,0.009627921757256575,0.01127962056538645,0.013218101082015377,0.007337081708829851,0.008640926318887354,0.013636971361482564,0.0004496402877698369,-0.00044717395286408834,-0.00012522715345286706,-0.000712095097063381,-0.001022189220725278,-0.0011532584356048758,0.00039571908651647725,0.0066118648206963115,-0.00048552079681363214,-0.012339558162851039,-0.018775912572153386,-0.009313579074736844,-0.008052669823703118,0.0034464654546821905,-0.021254950250865545,-0.041898098405317,0.00645402686778862,-0.01937993313769748,0.009327115256495766,0.012832263978001857,0.009710197712456514,0.016898458961061458,0.01725604503881195,0.013559161994688651,0.016307488713743767,0.009634240256595428,0.0062645975336552695,0.008423438172567188,0.001726138403005617,-0.00994035785288272,-0.0117647058823529,-0.0023255813953487747,0.02127659574468077,0.015439429928741255,0.004868549172346803,0.0019080659150043644
2023-08-29,0.009989635506334471,0.022355042366503763,0.028227800615482135,0.012021546381548509,0.004382957142517352,0.031508291980612446,0.037491722327913424,0.052926004632686485,0.002696629213483126,-0.00024126554987224935,-0.00019025438636754988,-0.0017815063445919543,-0.0012452578842200301,-0.0020397756246812726,0.0033420243828592433,-0.005401009003370927,0.004097086719088594,0.0010794561656708446,-0.0030459248051176724,-0.10924110250407193,-0.02150524056067682,0.002723836918834044,0.014898476809701577,0.0058995718376513295,-0.004272124646885644,-0.00562625595022892,0.005940594059405946,0.005429864253393646,0.019485691152153484,0.025896781133556646,0.001771215968671358,0.007634458938582167,0.0017059502225151846,0.003440263268603916,0.014508347036412905,0.017411728309034702,-0.0030867180735943966,-0.02208835341365467,-0.01904761904761909,-0.013986013986013845,0.03125,0.008187134502923854,0.0046511627906977715,0.0025969529085874132
2023-08-30,-0.0004213601690948865,0.0008384116951665188,-0.0005044863452315917,0.0003988664513931983,-0.0026414833837492546,0.005053006757231859,0.009249449943467214,0.011650638981404393,0.003361721201255108,3.8682134831713455e-05,2.486208713392557e-05,0.0005759667723956863,0.0008505373849843068,0.0004917037051319628,0.003271408359860617,0.015806510164569243,0.0023396188052231537,0.007476132132969271,0.02139529459739742,0.040656586187641786,0.03521491879539029,0.012258529682453334,0.009582976374408636,-0.002929046759788778,0.008609276124268428,0.004882376980170244,0.013779527559055094,0.021602160216021682,-6.329788471448605e-05,-0.00921493565840037,0.003304375186373276,-0.0025794700991801367,0.008301315540490517,0.0035499341734059886,0.0038331298928546698,0.005418194231684881,-0.0004701408536051943,0.006160164271047375,0.0,0.0,-0.022727272727272707,-0.016241299303944134,-0.0017361111111111605,0.001208772232774935
2023-08-31,-0.006134839776179013,-0.006191177536513548,-0.0068727621484887536,-0.005502181526949257,-0.004790485343375339,-0.005754617157900488,-0.005723095928092392,-0.003663135370661874,0.003797185615367349,0.0002487868345171229,0.00015586228658581724,0.0006891407630815749,0.0005987330037082739,0.0009732875920287487,0.0033933865963609033,-0.0017873278875972787,0.0008742658635290113,0.008641880212875819,0.023023059681156255,-0.0065927331662994915,0.011658117297099757,-0.002687917500895587,-0.011059255936923584,0.0052019227260557965,0.0021616919989446703,-0.0007350726117598683,0.005177993527508029,0.004405286343612147,-0.00545370142932422,-0.003794623171513689,0.008841614847282075,-0.004217541729331309,0.007319103103887281,-0.0019326727106612207,-0.0015969452055097921,0.0011170307240513377,-0.0012867466015143991,-0.010204081632653184,-0.00728155339805836,-0.007092198581560294,-0.01808785529715773,-0.004716981132075526,-0.0001932367149757308,-0.00034494653328731584
